id,trip_duration
id2039321,617.12286
id2949853,2814.388
id1181425,404.36984
id3889432,1267.4552
id1936705,294.21393
id3926368,2090.8337
id0906168,313.84906
id1019723,1463.6505
id3288646,3258.4492
id0892165,389.67685
id1024882,1386.9066
id3462550,436.36752
id3853230,481.4137
id0848067,467.83456
id3313214,2045.6343
id1431516,453.01196
id3966809,1532.7013
id0830714,1514.5382
id0337190,171.83264
id3981899,724.29974
id2106978,1629.844
id0375092,942.91144
id0375092,942.91144
id0375092,942.91144
id0881617,700.1464
id1157999,2037.1157
id0085211,3712.4905
id3407071,346.5736
id2465571,1141.7495
id0291757,602.99097
id0527397,536.28754
id0457809,917.7309
id3950433,425.03705
id2733612,288.33548
id3463553,291.0818
id1726667,236.56094
id3389856,335.2646
id1105835,1061.3958
id1392844,751.9473
id0169591,314.39133
id1280601,219.0487
id2887546,501.47305
id3280343,556.21906
id2041191,769.5373
id3222200,686.565
id3169836,444.4393
id1410683,956.80396
id3604187,1798.2554
id2888373,1152.7262
id2984028,210.69275
id2101303,378.19055
id3164105,426.2304
id0323135,180.79114
id2120394,420.16837
id3529599,856.72205
id0528261,387.2848
id2581665,1105.649
id2897763,727.217
id2970561,550.9284
id0060059,803.3833
id1752892,955.89233
id1288782,597.8393
id0553591,1984.0853
id1450926,188.09427
id0355532,279.9518
id1094371,1020.5532
id0290083,671.7777
id2992325,199.4801
id2974161,196.04732
id2582851,171.83667
id3354617,695.8969
id3732288,368.22635
id3732288,368.22635
id3641617,322.30014
id2380826,365.43423
id1867957,491.26917
id1520225,195.49178
id2241118,202.59593
id3688965,807.70416
id0826012,904.51263
id1957078,533.2196
id2633556,565.8291
id0967207,982.3494
id3057968,2539.1628
id2450272,515.7642
id0957653,533.88794
id0353332,156.32794
id2111094,779.55676
id1445503,342.9973
id2109161,731.6152
id0196906,402.42917
id1630709,788.8406
id0069343,918.9983
id1115877,1252.8757
id0769078,822.05554
id0769078,822.05554
id0907337,1227.9664
id3894606,507.18542
id3307473,1618.7963
id3335692,812.43713
id1589122,553.2622
id0014826,817.9122
id3185918,297.23782
id3058349,372.24854
id1744127,777.1594
id3983460,805.471
id3902087,1728.3091
id1682579,3756.099
id3910160,729.57404
id3395267,2318.9634
id0712788,1127.8562
id0487941,1225.6088
id0139072,1114.0754
id1461876,2721.8992
id1038009,1077.4224
id2005710,686.1032
id2259815,797.07745
id2753444,416.89777
id2840268,175.73302
id0578765,760.6532
id1415265,534.1349
id3908288,1612.6305
id2494834,1383.6293
id2161151,1062.2487
id0197143,714.00464
id2161784,1691.8589
